alert_id,transaction_id,customer_id,classification,confidence,reasoning,investigation_note,route,max_similarity,triggered_rules,is_fraud_ground_truth,fraud_pattern_ground_truth,model,decided_at
ALERT_00016316,TXN_415F74C52E98,CUST_DA6F7A7E3C,false_positive,0.82,"Single transaction with no burst pattern present. Amount of $1378.94 is within normal range (below historical max of $1422.17). Grocery MCC matches customer's typical spending categories. While IP country CN is new, the transaction characteristics align with legitimate customer behavior.","Customer made a single grocery purchase below their historical maximum amount in a category they regularly use. The CNP foreign rule triggered due to new IP country CN, but no other fraud indicators are present. Most similar historical cases involved cryptocurrency purchases (different MCC) with much higher amounts, making them less relevant to this grocery transaction pattern.",llm,0.5806,cnp_foreign,1,cnp_foreign,anthropic/claude-sonnet-4,2026-05-23T13:32:06
ALERT_00004792,TXN_A4F24DA6F146,CUST_05B8313981,likely_fraud,0.92,"Clear card-testing burst pattern with 5 transactions across 4 foreign IP countries (BR, CN, JP, TH) in just 6 minutes, which is the classic fraud signature. Customer has never transacted from any of these countries in their 90-day history (only US). All three retrieved cases with 0.66 similarity show identical confirmed_fraud outcomes for the same card-testing pattern from CN IPs.","This alert exhibits the textbook card-testing fraud pattern: multiple small transactions ($5.35-$24.40) across different foreign countries within minutes, testing if the stolen card works before attempting larger purchases. The customer's clean 90-day history shows no international activity, making this foreign multi-country burst highly suspicious. Historical precedent strongly supports fraud classification with three nearly identical confirmed_fraud cases.",llm,0.6633,cnp_foreign,1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:32:10
ALERT_00021840,TXN_3B79AFF94024,CUST_90E0FB668B,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern: 5 transactions across 4 different IP countries (FR, MX, RU, TH) and 5 different merchants within 6 minutes, which is the signature of automated fraud testing. While the individual amounts are small ($4.02-$24.57), this multi-country, multi-merchant burst pattern is classic card-testing behavior. The IP country FR is new (not in customer's 90-day history of CA, MX, TH), and all three similar historical cases with this pattern resulted in confirmed fraud.","This alert exhibits the classic card-testing fraud signature: multiple small transactions across different countries and merchants within minutes, indicating automated testing of the stolen card credentials. The customer has recent international activity in MX and TH, but the burst pattern across 4 countries including new country FR suggests the card has been compromised. Contact customer immediately to verify the transactions and consider blocking the card pending confirmation.",llm,0.6293,"geo_impossible,cnp_foreign",1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:32:17
ALERT_00057781,TXN_806F2064F31B,CUST_B2EB8DECC9,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern: 6 transactions across 5 different IP countries (AE, JP, MX, NG, TH) and 5 different merchants within 7.5 minutes. While the customer has used NG before, the rapid-fire testing across multiple foreign countries is the signature of automated fraud tools. The retrieved cases all show confirmed fraud with similar card-not-present foreign IP patterns, providing strong precedent.","This alert exhibits the classic card-testing fraud signature with transactions fired across 5 countries in under 8 minutes, indicating automated testing tools. Although the individual amounts are small and the customer has international transaction history, the multi-country burst pattern overrides these factors. Contact the customer immediately to verify these transactions and consider blocking the card pending confirmation.",llm,0.6694,geo_impossible,1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:32:21
ALERT_00043761,TXN_8B262D5E67AE,CUST_AB7FD10F33,likely_fraud,0.92,"The burst-window evidence shows a clear card-testing pattern with 6 transactions across 6 different IP countries (BR, CN, DE, FR, MX, TH) and 6 merchants within 7.5 minutes. The IP country DE has never been used by this customer (only IN in 90-day history), and all 3 retrieved similar cases with similarity ≥0.65 had confirmed_fraud outcomes with identical patterns of CNP transactions from new countries.","This alert exhibits the classic card-testing fraud signature: multiple small transactions fired rapidly across different countries and merchants to test if the stolen card works. The customer has no international transaction history, making the simultaneous activity from 6 foreign countries highly suspicious. Contact the customer immediately to verify if they authorized these transactions and consider blocking the card pending confirmation.",llm,0.6634,cnp_foreign,1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:32:25
ALERT_00009648,TXN_EE5E46E6E3E2,CUST_245B5D2EC3,likely_fraud,0.78,"Single transaction of $2241.09 from new IP country TH (not in 90-day history) at gambling merchant (not in typical MCCs). While amount is below historical max of $3347.25, the combination of new foreign IP country, high-risk gambling MCC with zero customer history, and card-not-present nature creates multiple fraud signals. Retrieved cases show customer_error outcomes but with lower similarity (0.59), and this alert involves additional geographic anomaly not present in those cases.","Customer has minimal recent activity (only 1 transaction in 90 days, avg $60) making this $2241 gambling charge highly anomalous for their profile. Transaction originates from Thailand IP while customer is US-based with no international transaction history in past 90 days. Recommend contacting customer to verify if they authorized this gambling transaction and are currently traveling in Thailand or using VPN services.",llm,0.5895,"mcc_anomaly,cnp_foreign",1,mcc_anomaly,anthropic/claude-sonnet-4,2026-05-23T13:32:30
ALERT_00014608,TXN_E8C1827F4C10,CUST_20FEF17378,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern with 7 transactions across 6 different IP countries and 7 different merchants in just 9 minutes - this is the classic signature of automated fraud testing. While the individual transaction amount ($14.00) is normal and Russia (RU) is a new country for this customer, the customer does have recent international transaction history. However, the overwhelming burst pattern of multiple countries and merchants in minutes, combined with the retrieved cases showing 0.56-0.58 similarity to confirmed fraud cases involving CNP transactions from foreign IPs, strongly indicates fraudulent card testing.","This alert exhibits the textbook card-testing fraud pattern with 7 transactions across 6 countries and 7 merchants in 9 minutes, suggesting automated testing of the stolen card credentials. While the customer has legitimate international transaction history in recent months, the rapid-fire multi-country burst is inconsistent with normal customer behavior. The retrieved historical cases show similar CNP foreign transaction patterns that were confirmed as fraud, supporting the classification despite the low individual transaction amount.",llm,0.5779,"velocity,geo_impossible,cnp_foreign",1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:32:38
ALERT_00032987,TXN_E02B90D54AB5,CUST_3F12DCA296,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern: 5 transactions across 4 different IP countries (AE, CN, FR, RU) and 5 different merchants within just 6 minutes. While the individual transaction amount ($6.23) is normal and the customer has used FR before, the multi-country burst pattern is the definitive signature of automated card testing fraud. The retrieved cases all show confirmed fraud outcomes with 0.64 similarity, reinforcing this classification.","This alert exhibits the classic card-testing fraud signature with rapid-fire transactions from multiple foreign IP addresses across different merchants. The fraudster is likely using automated tools to test the stolen card's validity across various international endpoints. Despite the small individual amounts, the coordinated multi-country burst within 6 minutes indicates compromised card credentials being systematically validated.",llm,0.6423,geo_impossible,1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:32:42
ALERT_00090973,TXN_63E4318B50D6,CUST_3EB70FC30C,likely_fraud,0.82,"Single transaction of $939.50 exceeds customer's historical max of $619.41 by 52% and represents first-ever money_transfer MCC usage. IP originates from Russia (RU) which is not in customer's 90-day history (US,CN,DE), and all three most similar historical cases with cnp_foreign pattern resulted in confirmed_fraud outcomes. Multiple fraud signals align: amount anomaly, new high-risk MCC, and IP from country never used before.","Customer attempted money transfer transaction from Russian IP address for amount significantly above their historical maximum, using a merchant category they have never used before. The cnp_foreign pattern matches three confirmed fraud cases in our database with similarities around 0.54-0.57. Contact customer immediately to verify this transaction as it exhibits classic characteristics of card compromise for money laundering purposes.",llm,0.5666,"geo_impossible,mcc_anomaly,cnp_foreign",1,geo_impossible,anthropic/claude-sonnet-4,2026-05-23T13:32:46
ALERT_00006088,TXN_5B2363FFE3F2,CUST_93A77359CB,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern with 7 transactions across 5 different IP countries (AE, JP, NG, RU, TH) and 7 merchants within 9 minutes - this is the classic signature of automated fraud testing. While the individual transaction amount ($7.78) is normal and the customer has used AE before, the multi-country burst pattern combined with the top 3 similar cases all being confirmed fraud with high similarity (0.67-0.69) strongly indicates fraudulent activity.",This alert exhibits the textbook card-testing fraud pattern with rapid-fire transactions from multiple foreign IP addresses across different merchants. The customer's card appears to be compromised and being tested by fraudsters using automated tools to validate the card across multiple geographic locations. Contact the customer immediately to verify these transactions and consider blocking the card to prevent further unauthorized use.,llm,0.6926,geo_impossible,1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:32:50
